date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:56	129067/129067	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:31%20GMT	https://marketpresso.com/special/images/test7.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test7.png	(from https://marketpresso.com/special/)
15:13:56	98111/98111	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:32%20GMT	https://marketpresso.com/special/images/test8.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test8.png	(from https://marketpresso.com/special/)
15:13:57	168120/168120	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:32%20GMT	https://marketpresso.com/special/images/test9.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test9.png	(from https://marketpresso.com/special/)
15:13:57	55439/55439	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:21%20GMT	https://marketpresso.com/special/images/test1.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test1.png	(from https://marketpresso.com/special/)
15:13:57	103262/103262	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2015:27:08%20GMT	https://marketpresso.com/special/images/test15a.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test15a.png	(from https://marketpresso.com/special/)
15:13:57	76175/76175	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2015:27:05%20GMT	https://marketpresso.com/special/images/test15b.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test15b.png	(from https://marketpresso.com/special/)
15:13:58	94694/94694	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2015:27:06%20GMT	https://marketpresso.com/special/images/test12a.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test12a.png	(from https://marketpresso.com/special/)
15:13:58	127383/127383	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2015:27:08%20GMT	https://marketpresso.com/special/images/test12b.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test12b.png	(from https://marketpresso.com/special/)
15:13:58	88610/88610	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:26%20GMT	https://marketpresso.com/special/images/test17.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test17.png	(from https://marketpresso.com/special/)
15:13:58	64040/64040	---M--	200	added ('OK')	image/png	date:Sun,%2010%20May%202020%2014:30:22%20GMT	https://marketpresso.com/special/images/test11.png	D:/htcopy/Marketprssso/marketpresso.com/special/images/test11.png	(from https://marketpresso.com/special/)
